Row,Month,Australian,International,OutFlightsAll,OutSeatsMax,Country,State,Latitude,Longitude,Population,Melbourne_Country,Melbourne_State,Melbourne_Latitude,Melbourne_Longitude,Melbourne_Population,PaxOut,Average_Load_Factor,Port Country,Port Region,Airline_Count
1,1/01/2009,Melbourne,Wellington,66,10118,New Zealand,Manawatu-Wanganui,-41.299988,174.783266,393400,Australia,Victoria,-37.818086,144.97307,4170000,6778,0.6699,New Zealand,New Zealand,2
2,1/01/2009,Melbourne,Honolulu,3,900,United States,Hawaii,21.308822,-157.859944,786000,Australia,Victoria,-37.818086,144.97307,4170000,76,0.0844,USA,N America,1
3,1/01/2009,Melbourne,London,62,21843,United Kingdom,Westminster,51.501941,-0.118668,8567000,Australia,Victoria,-37.818086,144.97307,4170000,8799,0.4028,UK,Europe,1
4,1/01/2009,Melbourne,Kuala Lumpur,86,26552,Malaysia,Selangor,3.168612,101.698037,1448000,Australia,Victoria,-37.818086,144.97307,4170000,16849,0.6346,Malaysia,SE Asia,2
5,1/01/2009,Melbourne,Hong Kong,137,38661,China,,22.306927,114.183064,7206000,Australia,Victoria,-37.818086,144.97307,4170000,22157,0.5731,Hong Kong (SAR),NE Asia,2
6,1/01/2009,Melbourne,Guangzhou,9,2286,China,Guangdong,23.146927,113.323064,8829000,Australia,Victoria,-37.818086,144.97307,4170000,1547,0.6767,China,NE Asia,1
7,1/01/2009,Melbourne,Dunedin,7,1064,New Zealand,Otago,-45.885423,170.491016,117700,Australia,Victoria,-37.818086,144.97307,4170000,641,0.6024,New Zealand,New Zealand,1
8,1/01/2009,Melbourne,Ho Chi Minh City,19,6422,Vietnam,H? ChÃƒÂ­ Minh city,10.781971,106.693081,5314000,Australia,Victoria,-37.818086,144.97307,4170000,4547,0.708,Vietnam,SE Asia,1
9,1/01/2009,Melbourne,Hanoi,19,6422,Vietnam,ThÃƒÂ¡i NguyÃƒÂªn,21.035273,105.848068,4378000,Australia,Victoria,-37.818086,144.97307,4170000,632,0.0984,Vietnam,SE Asia,1
10,1/01/2009,Melbourne,Singapore,205,65496,Singapore,,1.294979,103.853875,5183700,Australia,Victoria,-37.818086,144.97307,4170000,37141,0.5671,Singapore,SE Asia,4
11,1/01/2009,Melbourne,Rarotonga,3,456,Cook Islands,,-21.202738,-159.805555,14100,Australia,Victoria,-37.818086,144.97307,4170000,39,0.0855,Cook Islands,Islands,1
12,1/01/2009,Melbourne,Queenstown,4,608,New Zealand,Otago,-45.02111,168.739167,15000,Australia,Victoria,-37.818086,144.97307,4170000,348,0.5724,New Zealand,New Zealand,1
13,1/01/2009,Melbourne,Shanghai,59,15691,China,Shanghai,31.218398,121.434559,14987000,Australia,Victoria,-37.818086,144.97307,4170000,6072,0.387,China,NE Asia,3
14,1/01/2009,Melbourne,Seoul,13,3315,"Korea, South",Seoul,37.568295,126.997785,9796000,Australia,Victoria,-37.818086,144.97307,4170000,2388,0.7204,Korea,NE Asia,1
15,1/01/2009,Melbourne,Port Vila,9,1530,Vanuatu,Shefa,-17.73335,168.316641,44040,Australia,Victoria,-37.818086,144.97307,4170000,733,0.4791,Vanuatu,Islands,1
16,1/01/2009,Melbourne,Manila,30,9306,Philippines,Metropolitan Manila,14.606105,120.980271,11100000,Australia,Victoria,-37.818086,144.97307,4170000,1993,0.2142,Philippines,SE Asia,1
17,1/01/2009,Melbourne,Los Angeles,92,33931,United States,California,33.991924,-118.181926,12500000,Australia,Victoria,-37.818086,144.97307,4170000,13596,0.4007,USA,N America,2
18,1/01/2009,Melbourne,Nadi,17,4199,Fiji,Central,-17.755391,177.443378,42000,Australia,Victoria,-37.818086,144.97307,4170000,1980,0.4715,Fiji,Islands,1
19,1/01/2009,Melbourne,Mauritius,8,2384,Mauritius,Mauritius,-20.166639,57.499994,595491,Australia,Victoria,-37.818086,144.97307,4170000,1046,0.4388,Mauritius,Africa,1
20,1/01/2009,Melbourne,Dubai,62,19292,United Arab Emirates,Dubay,25.231942,55.278029,1379000,Australia,Victoria,-37.818086,144.97307,4170000,13201,0.6843,United Arab Emirates,Middle East,1
21,1/01/2009,Melbourne,Beijing,18,4320,China,Beijing,39.930838,116.38634,11106000,Australia,Victoria,-37.818086,144.97307,4170000,2462,0.5699,China,NE Asia,1
22,1/01/2009,Melbourne,Christchurch,111,18488,New Zealand,Canterbury,-43.535022,172.630023,363200,Australia,Victoria,-37.818086,144.97307,4170000,14517,0.7852,New Zealand,New Zealand,3
23,1/01/2009,Melbourne,Denpasar,32,9472,Indonesia,Bali,-8.748168,115.167172,4300000,Australia,Victoria,-37.818086,144.97307,4170000,5266,0.556,Indonesia,SE Asia,3
24,1/01/2009,Melbourne,Chicago,19,7106,United States,Illinois,41.831937,-87.752001,8990000,Australia,Victoria,-37.818086,144.97307,4170000,103,0.0145,USA,N America,1
25,1/01/2009,Melbourne,Bangkok,75,22579,Thailand,Bangkok Metropolis,13.751945,100.514699,6704000,Australia,Victoria,-37.818086,144.97307,4170000,13946,0.6177,Thailand,SE Asia,2
26,1/01/2009,Melbourne,Bombay,2,470,India,Maharashtra,19.018936,72.855043,18978000,Australia,Victoria,-37.818086,144.97307,4170000,80,0.1702,India,S Asia,1
27,1/01/2009,Melbourne,Auckland,205,48619,New Zealand,Auckland,-36.848055,174.763027,1377200,Australia,Victoria,-37.818086,144.97307,4170000,35072,0.7214,New Zealand,New Zealand,4
28,1/02/2009,Melbourne,Singapore,168,53351,Singapore,,1.294979,103.853875,5183700,Australia,Victoria,-37.818086,144.97307,4170000,27858,0.5222,Singapore,SE Asia,4
29,1/02/2009,Melbourne,Beijing,17,4080,China,Beijing,39.930838,116.38634,11106000,Australia,Victoria,-37.818086,144.97307,4170000,1669,0.4091,China,NE Asia,1
30,1/02/2009,Melbourne,Los Angeles,82,31258,United States,California,33.991924,-118.181926,12500000,Australia,Victoria,-37.818086,144.97307,4170000,9183,0.2938,USA,N America,2
31,1/02/2009,Melbourne,London,56,19720,United Kingdom,Westminster,51.501941,-0.118668,8567000,Australia,Victoria,-37.818086,144.97307,4170000,6530,0.3311,UK,Europe,1
32,1/02/2009,Melbourne,Chicago,27,10098,United States,Illinois,41.831937,-87.752001,8990000,Australia,Victoria,-37.818086,144.97307,4170000,152,0.0151,USA,N America,1
33,1/02/2009,Melbourne,Manila,28,8456,Philippines,Metropolitan Manila,14.606105,120.980271,11100000,Australia,Victoria,-37.818086,144.97307,4170000,1919,0.2269,Philippines,SE Asia,1
34,1/02/2009,Melbourne,Auckland,182,43456,New Zealand,Auckland,-36.848055,174.763027,1377200,Australia,Victoria,-37.818086,144.97307,4170000,31943,0.7351,New Zealand,New Zealand,4
35,1/02/2009,Melbourne,Queenstown,3,456,New Zealand,Otago,-45.02111,168.739167,15000,Australia,Victoria,-37.818086,144.97307,4170000,243,0.5329,New Zealand,New Zealand,1
36,1/02/2009,Melbourne,Shanghai,51,13357,China,Shanghai,31.218398,121.434559,14987000,Australia,Victoria,-37.818086,144.97307,4170000,5026,0.3763,China,NE Asia,3
37,1/02/2009,Melbourne,Seoul,12,3060,"Korea, South",Seoul,37.568295,126.997785,9796000,Australia,Victoria,-37.818086,144.97307,4170000,2148,0.702,Korea,NE Asia,1
38,1/02/2009,Melbourne,Nadi,12,2226,Fiji,Central,-17.755391,177.443378,42000,Australia,Victoria,-37.818086,144.97307,4170000,1322,0.5939,Fiji,Islands,1
39,1/02/2009,Melbourne,Mauritius,4,1192,Mauritius,Mauritius,-20.166639,57.499994,595491,Australia,Victoria,-37.818086,144.97307,4170000,615,0.5159,Mauritius,Africa,1
40,1/02/2009,Melbourne,Port Vila,8,1360,Vanuatu,Shefa,-17.73335,168.316641,44040,Australia,Victoria,-37.818086,144.97307,4170000,481,0.3537,Vanuatu,Islands,1
41,1/02/2009,Melbourne,Bangkok,67,19841,Thailand,Bangkok Metropolis,13.751945,100.514699,6704000,Australia,Victoria,-37.818086,144.97307,4170000,11188,0.5639,Thailand,SE Asia,2
42,1/02/2009,Melbourne,Kuala Lumpur,71,21528,Malaysia,Selangor,3.168612,101.698037,1448000,Australia,Victoria,-37.818086,144.97307,4170000,12720,0.5909,Malaysia,SE Asia,2
43,1/02/2009,Melbourne,Dunedin,4,608,New Zealand,Otago,-45.885423,170.491016,117700,Australia,Victoria,-37.818086,144.97307,4170000,386,0.6349,New Zealand,New Zealand,1
44,1/02/2009,Melbourne,Ho Chi Minh City,16,5408,Vietnam,H? ChÃƒÂ­ Minh city,10.781971,106.693081,5314000,Australia,Victoria,-37.818086,144.97307,4170000,2400,0.4438,Vietnam,SE Asia,1
45,1/02/2009,Melbourne,Hanoi,16,5408,Vietnam,ThÃƒÂ¡i NguyÃƒÂªn,21.035273,105.848068,4378000,Australia,Victoria,-37.818086,144.97307,4170000,332,0.0614,Vietnam,SE Asia,1
46,1/02/2009,Melbourne,Denpasar,24,7064,Indonesia,Bali,-8.748168,115.167172,4300000,Australia,Victoria,-37.818086,144.97307,4170000,3231,0.4574,Indonesia,SE Asia,2
47,1/02/2009,Melbourne,Guangzhou,8,2032,China,Guangdong,23.146927,113.323064,8829000,Australia,Victoria,-37.818086,144.97307,4170000,990,0.4872,China,NE Asia,1
48,1/02/2009,Melbourne,Christchurch,94,15723,New Zealand,Canterbury,-43.535022,172.630023,363200,Australia,Victoria,-37.818086,144.97307,4170000,12777,0.8126,New Zealand,New Zealand,3
49,1/02/2009,Melbourne,Hong Kong,117,33530,China,,22.306927,114.183064,7206000,Australia,Victoria,-37.818086,144.97307,4170000,17729,0.5288,Hong Kong (SAR),NE Asia,2
50,1/02/2009,Melbourne,Wellington,58,8880,New Zealand,Manawatu-Wanganui,-41.299988,174.783266,393400,Australia,Victoria,-37.818086,144.97307,4170000,5980,0.6734,New Zealand,New Zealand,2
51,1/02/2009,Melbourne,Honolulu,4,1200,United States,Hawaii,21.308822,-157.859944,786000,Australia,Victoria,-37.818086,144.97307,4170000,61,0.0508,USA,N America,1
52,1/02/2009,Melbourne,Dubai,82,24118,United Arab Emirates,Dubay,25.231942,55.278029,1379000,Australia,Victoria,-37.818086,144.97307,4170000,11344,0.4704,United Arab Emirates,Middle East,1
53,1/03/2009,Melbourne,Nadi,15,3009,Fiji,Central,-17.755391,177.443378,42000,Australia,Victoria,-37.818086,144.97307,4170000,1823,0.6058,Fiji,Islands,1
54,1/03/2009,Melbourne,Mauritius,4,1176,Mauritius,Mauritius,-20.166639,57.499994,595491,Australia,Victoria,-37.818086,144.97307,4170000,602,0.5119,Mauritius,Africa,1
55,1/03/2009,Melbourne,Seoul,14,3570,"Korea, South",Seoul,37.568295,126.997785,9796000,Australia,Victoria,-37.818086,144.97307,4170000,1762,0.4936,Korea,NE Asia,1
56,1/03/2009,Melbourne,Port Vila,8,1360,Vanuatu,Shefa,-17.73335,168.316641,44040,Australia,Victoria,-37.818086,144.97307,4170000,608,0.4471,Vanuatu,Islands,1
57,1/03/2009,Melbourne,Wellington,63,9640,New Zealand,Manawatu-Wanganui,-41.299988,174.783266,393400,Australia,Victoria,-37.818086,144.97307,4170000,6391,0.663,New Zealand,New Zealand,2
58,1/03/2009,Melbourne,Queenstown,3,456,New Zealand,Otago,-45.02111,168.739167,15000,Australia,Victoria,-37.818086,144.97307,4170000,188,0.4123,New Zealand,New Zealand,1
59,1/03/2009,Melbourne,Abu Dhabi,2,578,United Arab Emirates,Abu Dhabi,24.466684,54.366593,603492,Australia,Victoria,-37.818086,144.97307,4170000,563,0.974,United Arab Emirates,Middle East,1
60,1/03/2009,Melbourne,Shanghai,48,12455,China,Shanghai,31.218398,121.434559,14987000,Australia,Victoria,-37.818086,144.97307,4170000,3964,0.3183,China,NE Asia,3
61,1/03/2009,Melbourne,Manila,31,9362,Philippines,Metropolitan Manila,14.606105,120.980271,11100000,Australia,Victoria,-37.818086,144.97307,4170000,1992,0.2128,Philippines,SE Asia,1
62,1/03/2009,Melbourne,Singapore,186,58795,Singapore,,1.294979,103.853875,5183700,Australia,Victoria,-37.818086,144.97307,4170000,32609,0.5546,Singapore,SE Asia,4
63,1/03/2009,Melbourne,Los Angeles,88,33073,United States,California,33.991924,-118.181926,12500000,Australia,Victoria,-37.818086,144.97307,4170000,12287,0.3715,USA,N America,2
64,1/03/2009,Melbourne,Christchurch,108,18060,New Zealand,Canterbury,-43.535022,172.630023,363200,Australia,Victoria,-37.818086,144.97307,4170000,13854,0.7671,New Zealand,New Zealand,3
65,1/03/2009,Melbourne,Denpasar,25,7361,Indonesia,Bali,-8.748168,115.167172,4300000,Australia,Victoria,-37.818086,144.97307,4170000,4805,0.6528,Indonesia,SE Asia,2
66,1/03/2009,Melbourne,Dubai,93,27296,United Arab Emirates,Dubay,25.231942,55.278029,1379000,Australia,Victoria,-37.818086,144.97307,4170000,15182,0.5562,United Arab Emirates,Middle East,1
67,1/03/2009,Melbourne,Chicago,30,11220,United States,Illinois,41.831937,-87.752001,8990000,Australia,Victoria,-37.818086,144.97307,4170000,204,0.0182,USA,N America,1
68,1/03/2009,Melbourne,Auckland,204,47738,New Zealand,Auckland,-36.848055,174.763027,1377200,Australia,Victoria,-37.818086,144.97307,4170000,34636,0.7255,New Zealand,New Zealand,4
69,1/03/2009,Melbourne,Bangkok,76,22671,Thailand,Bangkok Metropolis,13.751945,100.514699,6704000,Australia,Victoria,-37.818086,144.97307,4170000,12600,0.5558,Thailand,SE Asia,2
70,1/03/2009,Melbourne,Beijing,18,4320,China,Beijing,39.930838,116.38634,11106000,Australia,Victoria,-37.818086,144.97307,4170000,1533,0.3549,China,NE Asia,1
71,1/03/2009,Melbourne,Dunedin,4,608,New Zealand,Otago,-45.885423,170.491016,117700,Australia,Victoria,-37.818086,144.97307,4170000,343,0.5641,New Zealand,New Zealand,1
72,1/03/2009,Melbourne,Honolulu,5,1500,United States,Hawaii,21.308822,-157.859944,786000,Australia,Victoria,-37.818086,144.97307,4170000,79,0.0527,USA,N America,1
73,1/03/2009,Melbourne,Kuala Lumpur,86,27059,Malaysia,Selangor,3.168612,101.698037,1448000,Australia,Victoria,-37.818086,144.97307,4170000,17406,0.6433,Malaysia,SE Asia,2
74,1/03/2009,Melbourne,London,60,21153,United Kingdom,Westminster,51.501941,-0.118668,8567000,Australia,Victoria,-37.818086,144.97307,4170000,8684,0.4105,UK,Europe,1
75,1/03/2009,Melbourne,Hong Kong,124,35481,China,,22.306927,114.183064,7206000,Australia,Victoria,-37.818086,144.97307,4170000,19570,0.5516,Hong Kong (SAR),NE Asia,2
76,1/03/2009,Melbourne,Guangzhou,9,2286,China,Guangdong,23.146927,113.323064,8829000,Australia,Victoria,-37.818086,144.97307,4170000,1752,0.7664,China,NE Asia,1
77,1/03/2009,Melbourne,Hanoi,17,5746,Vietnam,ThÃƒÂ¡i NguyÃƒÂªn,21.035273,105.848068,4378000,Australia,Victoria,-37.818086,144.97307,4170000,388,0.0675,Vietnam,SE Asia,1
78,1/03/2009,Melbourne,Ho Chi Minh City,17,5746,Vietnam,H? ChÃƒÂ­ Minh city,10.781971,106.693081,5314000,Australia,Victoria,-37.818086,144.97307,4170000,2818,0.4904,Vietnam,SE Asia,1
79,1/04/2009,Melbourne,Los Angeles,86,32306,United States,California,33.991924,-118.181926,12500000,Australia,Victoria,-37.818086,144.97307,4170000,13422,0.4155,USA,N America,2
80,1/04/2009,Melbourne,Manila,31,9362,Philippines,Metropolitan Manila,14.606105,120.980271,11100000,Australia,Victoria,-37.818086,144.97307,4170000,2164,0.2311,Philippines,SE Asia,1
81,1/04/2009,Melbourne,Mauritius,5,1490,Mauritius,Mauritius,-20.166639,57.499994,595491,Australia,Victoria,-37.818086,144.97307,4170000,867,0.5819,Mauritius,Africa,1
82,1/04/2009,Melbourne,Honolulu,4,1200,United States,Hawaii,21.308822,-157.859944,786000,Australia,Victoria,-37.818086,144.97307,4170000,81,0.0675,USA,N America,1
83,1/04/2009,Melbourne,Kuala Lumpur,89,27951,Malaysia,Selangor,3.168612,101.698037,1448000,Australia,Victoria,-37.818086,144.97307,4170000,19885,0.7114,Malaysia,SE Asia,2
84,1/04/2009,Melbourne,London,56,19726,United Kingdom,Westminster,51.501941,-0.118668,8567000,Australia,Victoria,-37.818086,144.97307,4170000,8105,0.4109,UK,Europe,1
85,1/04/2009,Melbourne,Shanghai,38,9807,China,Shanghai,31.218398,121.434559,14987000,Australia,Victoria,-37.818086,144.97307,4170000,3496,0.3565,China,NE Asia,2
86,1/04/2009,Melbourne,Singapore,180,56490,Singapore,,1.294979,103.853875,5183700,Australia,Victoria,-37.818086,144.97307,4170000,34416,0.6092,Singapore,SE Asia,4
87,1/04/2009,Melbourne,Wellington,60,9260,New Zealand,Manawatu-Wanganui,-41.299988,174.783266,393400,Australia,Victoria,-37.818086,144.97307,4170000,6967,0.7524,New Zealand,New Zealand,2
88,1/04/2009,Melbourne,Nadi,16,3865,Fiji,Central,-17.755391,177.443378,42000,Australia,Victoria,-37.818086,144.97307,4170000,2539,0.6569,Fiji,Islands,1
89,1/04/2009,Melbourne,Port Vila,9,1530,Vanuatu,Shefa,-17.73335,168.316641,44040,Australia,Victoria,-37.818086,144.97307,4170000,624,0.4078,Vanuatu,Islands,1
90,1/04/2009,Melbourne,Seoul,13,3315,"Korea, South",Seoul,37.568295,126.997785,9796000,Australia,Victoria,-37.818086,144.97307,4170000,1326,0.4,Korea,NE Asia,1
91,1/04/2009,Melbourne,Beijing,17,4080,China,Beijing,39.930838,116.38634,11106000,Australia,Victoria,-37.818086,144.97307,4170000,1645,0.4032,China,NE Asia,1
92,1/04/2009,Melbourne,Chicago,30,11220,United States,Illinois,41.831937,-87.752001,8990000,Australia,Victoria,-37.818086,144.97307,4170000,194,0.0173,USA,N America,1
93,1/04/2009,Melbourne,Christchurch,93,15640,New Zealand,Canterbury,-43.535022,172.630023,363200,Australia,Victoria,-37.818086,144.97307,4170000,12305,0.7868,New Zealand,New Zealand,4
94,1/04/2009,Melbourne,Abu Dhabi,30,8168,United Arab Emirates,Abu Dhabi,24.466684,54.366593,603492,Australia,Victoria,-37.818086,144.97307,4170000,5131,0.6282,United Arab Emirates,Middle East,1
95,1/04/2009,Melbourne,Auckland,193,46082,New Zealand,Auckland,-36.848055,174.763027,1377200,Australia,Victoria,-37.818086,144.97307,4170000,35127,0.7623,New Zealand,New Zealand,4
96,1/04/2009,Melbourne,Bangkok,74,21916,Thailand,Bangkok Metropolis,13.751945,100.514699,6704000,Australia,Victoria,-37.818086,144.97307,4170000,14583,0.6654,Thailand,SE Asia,2
97,1/04/2009,Melbourne,Hanoi,16,5408,Vietnam,ThÃƒÂ¡i NguyÃƒÂªn,21.035273,105.848068,4378000,Australia,Victoria,-37.818086,144.97307,4170000,384,0.071,Vietnam,SE Asia,1
98,1/04/2009,Melbourne,Ho Chi Minh City,16,5408,Vietnam,H? ChÃƒÂ­ Minh city,10.781971,106.693081,5314000,Australia,Victoria,-37.818086,144.97307,4170000,2534,0.4686,Vietnam,SE Asia,1
99,1/04/2009,Melbourne,Hong Kong,120,34328,China,,22.306927,114.183064,7206000,Australia,Victoria,-37.818086,144.97307,4170000,22288,0.6493,Hong Kong (SAR),NE Asia,2
100,1/04/2009,Melbourne,Denpasar,22,6474,Indonesia,Bali,-8.748168,115.167172,4300000,Australia,Victoria,-37.818086,144.97307,4170000,4474,0.6911,Indonesia,SE Asia,2
101,1/04/2009,Melbourne,Dubai,90,26434,United Arab Emirates,Dubay,25.231942,55.278029,1379000,Australia,Victoria,-37.818086,144.97307,4170000,13771,0.521,United Arab Emirates,Middle East,1
102,1/04/2009,Melbourne,Guangzhou,9,2286,China,Guangdong,23.146927,113.323064,8829000,Australia,Victoria,-37.818086,144.97307,4170000,1755,0.7677,China,NE Asia,1
103,1/05/2009,Melbourne,Los Angeles,86,32021,United States,California,33.991924,-118.181926,12500000,Australia,Victoria,-37.818086,144.97307,4170000,15049,0.47,USA,N America,2
104,1/05/2009,Melbourne,Manila,30,9060,Philippines,Metropolitan Manila,14.606105,120.980271,11100000,Australia,Victoria,-37.818086,144.97307,4170000,1769,0.1953,Philippines,SE Asia,1
105,1/05/2009,Melbourne,Mauritius,4,1176,Mauritius,Mauritius,-20.166639,57.499994,595491,Australia,Victoria,-37.818086,144.97307,4170000,536,0.4558,Mauritius,Africa,1
106,1/05/2009,Melbourne,Honolulu,4,1200,United States,Hawaii,21.308822,-157.859944,786000,Australia,Victoria,-37.818086,144.97307,4170000,94,0.0783,USA,N America,1
107,1/05/2009,Melbourne,Kuala Lumpur,93,29171,Malaysia,Selangor,3.168612,101.698037,1448000,Australia,Victoria,-37.818086,144.97307,4170000,19741,0.6767,Malaysia,SE Asia,2
108,1/05/2009,Melbourne,London,58,20455,United Kingdom,Westminster,51.501941,-0.118668,8567000,Australia,Victoria,-37.818086,144.97307,4170000,9060,0.4429,UK,Europe,1
